Year,variable,method,value,parameter_value,growth_rate
2026,Pretax Income,slope,867800000.0,107300000.0,0.14
2027,Pretax Income,slope,975100000.0,107300000.0,0.12
2028,Pretax Income,slope,1082400000.0,107300000.0,0.11
2029,Pretax Income,slope,1189700000.0,107300000.0,0.1
2030,Pretax Income,slope,1297000000.0,107300000.0,0.09
2031,Pretax Income,slope,1404300000.0,107300000.0,0.08
2032,Pretax Income,slope,1511600000.0,107300000.0,0.08
2033,Pretax Income,slope,1618900000.0,107300000.0,0.07
2034,Pretax Income,slope,1726200000.0,107300000.0,0.07
2025,Pretax Income,man_inp_growth,749520000.0,0.08,0.08
2026,Pretax Income,man_inp_growth,809481600.0,0.08,0.08
2027,Pretax Income,man_inp_growth,874240128.0,0.08,0.08
2028,Pretax Income,man_inp_growth,944179338.0,0.08,0.08
2029,Pretax Income,man_inp_growth,1019713685.0,0.08,0.08
2030,Pretax Income,man_inp_growth,1101290780.0,0.08,0.08
2031,Pretax Income,man_inp_growth,1189394043.0,0.08,0.08
2032,Pretax Income,man_inp_growth,1284545566.0,0.08,0.08
2033,Pretax Income,man_inp_growth,1387309211.0,0.08,0.08
2034,Pretax Income,man_inp_growth,1498293948.0,0.08,0.08
2025,Change in Debt,cagr,,,
2026,Change in Debt,cagr,,,
2027,Change in Debt,cagr,,,
2028,Change in Debt,cagr,,,
2029,Change in Debt,cagr,,,
2030,Change in Debt,cagr,,,
2031,Change in Debt,cagr,,,
2032,Change in Debt,cagr,,,
2033,Change in Debt,cagr,,,
2034,Change in Debt,cagr,,,
2025,Change in Debt,slope,,,
2026,Change in Debt,slope,,,
2027,Change in Debt,slope,,,
2028,Change in Debt,slope,,,
2029,Change in Debt,slope,,,
2030,Change in Debt,slope,,,
2031,Change in Debt,slope,,,
2032,Change in Debt,slope,,,
2033,Change in Debt,slope,,,
2034,Change in Debt,slope,,,
2025,Change in Debt,man_inp_growth,7560000.0,0.08,0.08
2026,Change in Debt,man_inp_growth,8164800.0,0.08,0.08
2027,Change in Debt,man_inp_growth,8817984.0,0.08,0.08
2028,Change in Debt,man_inp_growth,9523423.0,0.08,0.08
2029,Change in Debt,man_inp_growth,10285297.0,0.08,0.08
2030,Change in Debt,man_inp_growth,11108120.0,0.08,0.08
2031,Change in Debt,man_inp_growth,11996770.0,0.08,0.08
2032,Change in Debt,man_inp_growth,12956511.0,0.08,0.08
2033,Change in Debt,man_inp_growth,13993032.0,0.08,0.08
2034,Change in Debt,man_inp_growth,15112475.0,0.08,0.08
2025,effective_tax_rate,cagr,0.2,-0.03,-0.03
2026,effective_tax_rate,cagr,0.2,-0.03,-0.03
