Year,variable,method,value,parameter_value,growth_rate
2026,Current Liabilities,slope,200711400000.0,14405900000.0,0.08
2027,Current Liabilities,slope,215117300000.0,14405900000.0,0.07
2028,Current Liabilities,slope,229523200000.0,14405900000.0,0.07
2029,Current Liabilities,slope,243929100000.0,14405900000.0,0.06
2030,Current Liabilities,slope,258335000000.0,14405900000.0,0.06
2031,Current Liabilities,slope,272740900000.0,14405900000.0,0.06
2032,Current Liabilities,slope,287146800000.0,14405900000.0,0.05
2033,Current Liabilities,slope,301552700000.0,14405900000.0,0.05
2034,Current Liabilities,slope,315958600000.0,14405900000.0,0.05
2025,Current Liabilities,man_inp_growth,153245260000.0,0.06,0.06
2026,Current Liabilities,man_inp_growth,162439975600.0,0.06,0.06
2027,Current Liabilities,man_inp_growth,172186374136.0,0.06,0.06
2028,Current Liabilities,man_inp_growth,182517556584.0,0.06,0.06
2029,Current Liabilities,man_inp_growth,193468609979.0,0.06,0.06
2030,Current Liabilities,man_inp_growth,205076726578.0,0.06,0.06
2031,Current Liabilities,man_inp_growth,217381330173.0,0.06,0.06
2032,Current Liabilities,man_inp_growth,230424209983.0,0.06,0.06
2033,Current Liabilities,man_inp_growth,244249662582.0,0.06,0.06
2034,Current Liabilities,man_inp_growth,258904642337.0,0.06,0.06
2025,Delta WC,cagr,,,
2026,Delta WC,cagr,,,
2027,Delta WC,cagr,,,
2028,Delta WC,cagr,,,
2029,Delta WC,cagr,,,
2030,Delta WC,cagr,,,
2031,Delta WC,cagr,,,
2032,Delta WC,cagr,,,
2033,Delta WC,cagr,,,
2034,Delta WC,cagr,,,
2025,Delta WC,slope,2818000000.0,1790900000.0,-1.31
2026,Delta WC,slope,4608900000.0,1790900000.0,0.64
2027,Delta WC,slope,6399800000.0,1790900000.0,0.39
2028,Delta WC,slope,8190700000.0,1790900000.0,0.28
2029,Delta WC,slope,9981600000.0,1790900000.0,0.22
2030,Delta WC,slope,11772500000.0,1790900000.0,0.18
2031,Delta WC,slope,13563400000.0,1790900000.0,0.15
2032,Delta WC,slope,15354300000.0,1790900000.0,0.13
2033,Delta WC,slope,17145200000.0,1790900000.0,0.12
2034,Delta WC,slope,18936100000.0,1790900000.0,0.1
2025,Delta WC,man_inp_growth,-9505020000.0,0.06,0.06
2026,Delta WC,man_inp_growth,-10075321200.0,0.06,0.06
2027,Delta WC,man_inp_growth,-10679840472.0,0.06,0.06
2028,Delta WC,man_inp_growth,-11320630900.0,0.06,0.06
2029,Delta WC,man_inp_growth,-11999868754.0,0.06,0.06
2030,Delta WC,man_inp_growth,-12719860880.0,0.06,0.06
2031,Delta WC,man_inp_growth,-13483052532.0,0.06,0.06
2032,Delta WC,man_inp_growth,-14292035684.0,0.06,0.06
2033,Delta WC,man_inp_growth,-15149557825.0,0.06,0.06
2034,Delta WC,man_inp_growth,-16058531295.0,0.06,0.06
2025,Tax Provision,cagr,34159600000.0,0.15,0.15
2026,Tax Provision,cagr,39283540000.0,0.15,0.15
2027,Tax Provision,cagr,45176071000.0,0.15,0.15
2028,Tax Provision,cagr,51952481650.0,0.15,0.15
2029,Tax Provision,cagr,59745353897.0,0.15,0.15
2030,Tax Provision,cagr,68707156982.0,0.15,0.15
2031,Tax Provision,cagr,79013230529.0,0.15,0.15
2032,Tax Provision,cagr,90865215109.0,0.15,0.15
2033,Tax Provision,cagr,104494997375.0,0.15,0.15
2034,Tax Provision,cagr,120169246981.0,0.15,0.15
2025,Tax Provision,slope,30856000000.0,4310700000.0,0.04
2026,Tax Provision,slope,35166700000.0,4310700000.0,0.14
2027,Tax Provision,slope,39477400000.0,4310700000.0,0.12
2028,Tax Provision,slope,43788100000.0,4310700000.0,0.11
2029,Tax Provision,slope,48098800000.0,4310700000.0,0.1
2030,Tax Provision,slope,52409500000.0,4310700000.0,0.09
2031,Tax Provision,slope,56720200000.0,4310700000.0,0.08
2032,Tax Provision,slope,61030900000.0,4310700000.0,0.08
2033,Tax Provision,slope,65341600000.0,4310700000.0,0.07
2034,Tax Provision,slope,69652300000.0,4310700000.0,0.07
2025,Tax Provision,man_inp_growth,31486240000.0,0.06,0.06
2026,Tax Provision,man_inp_growth,33375414400.0,0.06,0.06
2027,Tax Provision,man_inp_growth,35377939264.0,0.06,0.06
2028,Tax Provision,man_inp_growth,37500615620.0,0.06,0.06
2029,Tax Provision,man_inp_growth,39750652557.0,0.06,0.06
2030,Tax Provision,man_inp_growth,42135691710.0,0.06,0.06
2031,Tax Provision,man_inp_growth,44663833213.0,0.06,0.06
2032,Tax Provision,man_inp_growth,47343663206.0,0.06,0.06
2033,Tax Provision,man_inp_growth,50184282998.0,0.06,0.06
2034,Tax Provision,man_inp_growth,53195339978.0,0.06,0.06
2025,Pretax Income,cagr,132307599924.0,0.04,0.04
2026,Pretax Income,cagr,137839186425.0,0.04,0.04
2027,Pretax Income,cagr,143602040437.0,0.04,0.04
2028,Pretax Income,cagr,149605830914.0,0.04,0.04
2029,Pretax Income,cagr,155860631056.0,0.04,0.04
2030,Pretax Income,cagr,162376935209.0,0.04,0.04
2031,Pretax Income,cagr,169165676471.0,0.04,0.04
